name,store_view_code,url_key,path,active,is_anchor,include_in_menu,position,page_layout,display_mode,cms_block,custom_layout_update
Staples & Staple Removers,default,staples-staple-removers,Products/Office Supplies/Stapler Supplies,1,1,0,2,2columns-left,PRODUCTS,,
Tape,default,tape,Products/Office Supplies,1,1,1,14,1column,PAGE,,
Masking Tape,default,masking-tape,Products/Office Supplies/Tape,1,1,0,1,2columns-left,PRODUCTS,,
Office Tape,default,office-tape,Products/Office Supplies/Tape,1,1,0,2,2columns-left,PRODUCTS,,
Packing Tape,default,packing-tape,Products/Office Supplies/Tape,1,1,0,3,2columns-left,PRODUCTS,,
Tape Dispensers,default,tape-dispensers,Products/Office Supplies/Tape,1,1,0,4,2columns-left,PRODUCTS,,
Writing Utensils,default,writing-utensils,Products/Office Supplies,1,1,1,15,1column,PAGE,,
Dry Erase Markers,default,dry-erase-markers,Products/Office Supplies/Writing Utensils,1,1,0,1,2columns-left,PRODUCTS,,
Highlighters,default,highlighters,Products/Office Supplies/Writing Utensils,1,1,0,2,2columns-left,PRODUCTS,,
Pencils,default,pencils,Products/Office Supplies/Writing Utensils,1,1,0,3,2columns-left,PRODUCTS,,
Pens,default,pens,Products/Office Supplies/Writing Utensils,1,1,0,4,2columns-left,PRODUCTS,,
Permanent Markers,default,permanent-markers,Products/Office Supplies/Writing Utensils,1,1,0,5,2columns-left,PRODUCTS,,
Presentation,default,presentation,Products,1,1,1,14,1column,PAGE,,
AV Presentation Stands,default,av-presentation-stands,Products/Presentation,1,1,1,1,1column,PAGE,,
Bulletin Boards,default,bulletin-boards,Products/Presentation,1,1,1,2,1column,PAGE,,
Cork,default,cork,Products/Presentation/Bulletin Boards,1,1,0,1,2columns-left,PRODUCTS,,
Fabric,default,fabric,Products/Presentation/Bulletin Boards,1,1,0,2,2columns-left,PRODUCTS,,
Vinyl,default,vinyl,Products/Presentation/Bulletin Boards,1,1,0,3,2columns-left,PRODUCTS,,
Easels,default,easels,Products/Presentation,1,1,1,3,1column,PAGE,,
Presentation Easels,default,presentation-easels,Products/Presentation/Easels,1,1,0,1,2columns-left,PRODUCTS,,
Teaching Easels,default,teaching-easels,Products/Presentation/Easels,1,1,0,2,2columns-left,PRODUCTS,,
Lecterns,default,lecterns,Products/Presentation,1,1,1,4,1column,PAGE,,
Electronic Sound,default,electronic-sound,Products/Presentation/Lecterns,1,1,0,1,2columns-left,PRODUCTS,,
Non-sound,default,nonsound,Products/Presentation/Lecterns,1,1,0,2,2columns-left,PRODUCTS,,
Markerboards,default,markerboards,Products/Presentation,1,1,1,5,1column,PAGE,,
Glass,default,glass,Products/Presentation/Markerboards,1,1,0,1,2columns-left,PRODUCTS,,
Laminate,default,laminate,Products/Presentation/Markerboards,1,1,0,2,2columns-left,PRODUCTS,,
Markerboard Accessories,default,markerboard-accessories,Products/Presentation/Markerboards,1,1,0,3,2columns-left,PRODUCTS,,
Melamine,default,melamine,Products/Presentation/Markerboards,1,1,0,4,2columns-left,PRODUCTS,,
Modular,default,modular,Products/Presentation/Markerboards,1,1,0,5,2columns-left,PRODUCTS,,
Porcelain,default,porcelain,Products/Presentation/Markerboards,1,1,0,6,2columns-left,PRODUCTS,,
Reversible,default,reversible,Products/Presentation/Markerboards,1,1,0,7,2columns-left,PRODUCTS,,
Projectors,default,projectors,Products/Presentation,1,1,1,6,1column,PAGE,,
Document Cameras,default,document-cameras,Products/Presentation/Projectors,1,1,0,1,2columns-left,PRODUCTS,,
Multimedia,default,multimedia,Products/Presentation/Projectors,1,1,0,2,2columns-left,PRODUCTS,,
